driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
50,Jos,Verstappen,-1.1164313725490183,37,rosa,28,2000,British Grand Prix
56,Eddie,Irvine,-0.8146825396825397,65,herbert,35,2000,British Grand Prix
35,Jacques,Villeneuve,-0.7539350649350643,41,zonta,29,2000,British Grand Prix
15,Jarno,Trulli,1.571359999999998,49,frentzen,26,2000,British Grand Prix
21,Giancarlo,Fisichella,-0.882489361702127,25,wurz,27,2000,British Grand Prix
64,Pedro,Diniz,-1.2104444444444422,63,salo,30,2000,British Grand Prix
65,Johnny,Herbert,0.36435714285714255,56,irvine,36,2000,British Grand Prix
55,Jean,Alesi,-0.23779999999999954,2,heidfeld,36,2000,British Grand Prix
41,Ricardo,Zonta,0.05569999999999742,35,villeneuve,24,2000,British Grand Prix
2,Nick,Heidfeld,0.27444852941176334,55,alesi,23,2000,British Grand Prix
63,Mika,Salo,1.1254042553191472,64,diniz,34,2000,British Grand Prix
37,Pedro,de la Rosa,1.3703529411764688,50,verstappen,29,2000,British Grand Prix
25,Alexander,Wurz,0.5762424242424218,21,fisichella,26,2000,British Grand Prix
48,Marc,Gené,-0.9888000000000048,60,mazzacane,26,2000,British Grand Prix
60,Gastón,Mazzacane,0.2502500000000012,48,gene,25,2000,British Grand Prix
30,Michael,Schumacher,-0.17470520231213482,22,barrichello,31,2000,Japanese Grand Prix
57,Mika,Häkkinen,0.01554237288135546,14,coulthard,32,2000,Japanese Grand Prix
